2026-08-09 19:05:32,601 [INFO] Log file: data\options\us_options_20260809_190532.log
2026-08-09 19:05:32,611 [INFO] Univers chargé : 503 tickers.
2026-08-09 19:05:35,119 [INFO] Filtre de valorisation : 57/503 entreprises avec un écart cours/valeur théorique >= 20% (sur 63 entreprises avec un DCF calculé, 503 dans l'univers fourni).
2026-08-09 19:05:35,121 [INFO] Alpha Vantage désactivé (ALPHAVANTAGE_API_KEY non définie) : repli Black-Scholes local uniquement pour l'IV/greeks. Clé gratuite : https://www.alphavantage.co/support/#api-key
2026-08-09 19:05:35,122 [INFO] Connecting to 127.0.0.1:4002 with clientId 1...
2026-08-09 19:05:35,123 [INFO] Connected
2026-08-09 19:05:35,127 [INFO] Logged on to server version 176
2026-08-09 19:05:35,133 [INFO] API connection ready
2026-08-09 19:05:35,250 [INFO] Synchronization complete
2026-08-09 19:05:35,250 [INFO] Connecté à IBKR sur 127.0.0.1:4002 (clientId=1, readonly=True).
2026-08-09 19:05:35,250 [INFO] Connecté à IBKR sur 127.0.0.1:4002 (clientId=1), marketDataType=4
2026-08-09 19:05:35,251 [INFO] [1/57] ADBE (Adobe Inc.)...
2026-08-09 19:05:40,635 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=197.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,636 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=197.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,637 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=202.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,638 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=202.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,638 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=205.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,639 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=205.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,639 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=207.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,640 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=207.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,640 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=212.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,641 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=212.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:40,641 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20270617', strike=215.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
