RIC,Instrument_Name,Country,Currency,Exchange
A,Agilent Technologies,United States,USD,SMART
AAPL,Apple Inc.,United States,USD,SMART
ABBV,AbbVie,United States,USD,SMART
ABNB,Airbnb,United States,USD,SMART
ABT,Abbott Laboratories,United States,USD,SMART
ACGL,Arch Capital Group,United States,USD,SMART
ACN,Accenture,United States,USD,SMART
ADBE,Adobe Inc.,United States,USD,SMART
ADI,Analog Devices,United States,USD,SMART
ADM,Archer Daniels Midland,United States,USD,SMART
ADP,Automatic Data Processing,United States,USD,SMART
ADSK,Autodesk,United States,USD,SMART
AEE,Ameren,United States,USD,SMART
AEP,American Electric Power,United States,USD,SMART
AES,AES Corporation,United States,USD,SMART
AFL,Aflac,United States,USD,SMART
AIG,American International Group,United States,USD,SMART
AIZ,Assurant,United States,USD,SMART
AJG,Arthur J. Gallagher & Co.,United States,USD,SMART
AKAM,Akamai Technologies,United States,USD,SMART
ALB,Albemarle Corporation,United States,USD,SMART
ALGN,Align Technology,United States,USD,SMART
ALL,Allstate,United States,USD,SMART
ALLE,Allegion,United States,USD,SMART
AMAT,Applied Materials,United States,USD,SMART
AMCR,Amcor,United States,USD,SMART
AMD,Advanced Micro Devices,United States,USD,SMART
AME,Ametek,United States,USD,SMART
AMGN,Amgen,United States,USD,SMART
AMP,Ameriprise Financial,United States,USD,SMART
AMT,American Tower,United States,USD,SMART
AMZN,Amazon,United States,USD,SMART
ANET,Arista Networks,United States,USD,SMART
AON,Aon plc,United States,USD,SMART
AOS,A. O. Smith,United States,USD,SMART
APA,APA Corporation,United States,USD,SMART
APD,Air Products,United States,USD,SMART
APH,Amphenol,United States,USD,SMART
APO,Apollo Global Management,United States,USD,SMART
APP,AppLovin,United States,USD,SMART
APTV,Aptiv,United States,USD,SMART
ARE,Alexandria Real Estate Equities,United States,USD,SMART
ARES,Ares Management,United States,USD,SMART
ATO,Atmos Energy,United States,USD,SMART
AVB,AvalonBay Communities,United States,USD,SMART
AVGO,Broadcom,United States,USD,SMART
AVY,Avery Dennison,United States,USD,SMART
AWK,American Water Works,United States,USD,SMART
AXON,Axon Enterprise,United States,USD,SMART
AXP,American Express,United States,USD,SMART
AZO,AutoZone,United States,USD,SMART
BA,Boeing,United States,USD,SMART
BAC,Bank of America,United States,USD,SMART
BALL,Ball Corporation,United States,USD,SMART
BAX,Baxter International,United States,USD,SMART
BBY,Best Buy,United States,USD,SMART
BDX,Becton Dickinson,United States,USD,SMART
BEN,Franklin Resources,United States,USD,SMART
BF.B,Brown–Forman,United States,USD,SMART
BG,Bunge Global,United States,USD,SMART
BIIB,Biogen,United States,USD,SMART
BKNG,Booking Holdings,United States,USD,SMART
BKR,Baker Hughes,United States,USD,SMART
BLDR,Builders FirstSource,United States,USD,SMART
BLK,BlackRock,United States,USD,SMART
BMY,Bristol Myers Squibb,United States,USD,SMART
BNY,BNY Mellon,United States,USD,SMART
BR,Broadridge Financial Solutions,United States,USD,SMART
BRK.B,Berkshire Hathaway,United States,USD,SMART
BRO,Brown & Brown,United States,USD,SMART
BSX,Boston Scientific,United States,USD,SMART
BX,Blackstone Inc.,United States,USD,SMART
BXP,"BXP, Inc.",United States,USD,SMART
C,Citigroup,United States,USD,SMART
CAH,Cardinal Health,United States,USD,SMART
CARR,Carrier Global,United States,USD,SMART
CASY,Casey's,United States,USD,SMART
CAT,Caterpillar Inc.,United States,USD,SMART
CB,Chubb Limited,United States,USD,SMART
CBOE,Cboe Global Markets,United States,USD,SMART
CBRE,CBRE Group,United States,USD,SMART
CCI,Crown Castle,United States,USD,SMART
CCL,Carnival Corporation,United States,USD,SMART
CDNS,Cadence Design Systems,United States,USD,SMART
CDW,CDW Corporation,United States,USD,SMART
CEG,Constellation Energy,United States,USD,SMART
CF,CF Industries,United States,USD,SMART
CFG,Citizens Financial Group,United States,USD,SMART
CHD,Church & Dwight,United States,USD,SMART
CHRW,C.H. Robinson,United States,USD,SMART
CHTR,Charter Communications,United States,USD,SMART
CI,Cigna,United States,USD,SMART
CIEN,Ciena,United States,USD,SMART
CINF,Cincinnati Financial,United States,USD,SMART
CL,Colgate-Palmolive,United States,USD,SMART
CLX,Clorox,United States,USD,SMART
CMCSA,Comcast,United States,USD,SMART
CME,CME Group,United States,USD,SMART
CMG,Chipotle Mexican Grill,United States,USD,SMART
CMI,Cummins,United States,USD,SMART
CMS,CMS Energy,United States,USD,SMART
CNC,Centene Corporation,United States,USD,SMART
CNP,CenterPoint Energy,United States,USD,SMART
COF,Capital One,United States,USD,SMART
COHR,Coherent Corp.,United States,USD,SMART
COIN,Coinbase,United States,USD,SMART
COO,Cooper Companies (The),United States,USD,SMART
COP,ConocoPhillips,United States,USD,SMART
COR,Cencora,United States,USD,SMART
COST,Costco,United States,USD,SMART
CPAY,Corpay,United States,USD,SMART
CPRT,Copart,United States,USD,SMART
CPT,Camden Property Trust,United States,USD,SMART
CRH,CRH plc,United States,USD,SMART
CRL,Charles River Laboratories,United States,USD,SMART
CRM,Salesforce,United States,USD,SMART
CRWD,CrowdStrike,United States,USD,SMART
CSCO,Cisco,United States,USD,SMART
CSGP,CoStar Group,United States,USD,SMART
CSX,CSX Corporation,United States,USD,SMART
CTAS,Cintas,United States,USD,SMART
CTSH,Cognizant,United States,USD,SMART
CTVA,Corteva,United States,USD,SMART
CVNA,Carvana,United States,USD,SMART
CVS,CVS Health,United States,USD,SMART
CVX,Chevron Corporation,United States,USD,SMART
D,Dominion Energy,United States,USD,SMART
DAL,Delta Air Lines,United States,USD,SMART
DASH,DoorDash,United States,USD,SMART
DD,DuPont,United States,USD,SMART
DDOG,Datadog,United States,USD,SMART
DE,Deere & Company,United States,USD,SMART
DECK,Deckers Brands,United States,USD,SMART
DELL,Dell Technologies,United States,USD,SMART
DG,Dollar General,United States,USD,SMART
DGX,Quest Diagnostics,United States,USD,SMART
DHI,D. R. Horton,United States,USD,SMART
DHR,Danaher Corporation,United States,USD,SMART
DIS,Walt Disney Company (The),United States,USD,SMART
DLR,Digital Realty,United States,USD,SMART
DLTR,Dollar Tree,United States,USD,SMART
DOC,Healthpeak Properties,United States,USD,SMART
DOV,Dover Corporation,United States,USD,SMART
DOW,Dow Inc.,United States,USD,SMART
DPZ,Domino's,United States,USD,SMART
DRI,Darden Restaurants,United States,USD,SMART
DTE,DTE Energy,United States,USD,SMART
DUK,Duke Energy,United States,USD,SMART
DVA,DaVita,United States,USD,SMART
DVN,Devon Energy,United States,USD,SMART
DXCM,Dexcom,United States,USD,SMART
EBAY,eBay Inc.,United States,USD,SMART
ECHO,EchoStar,United States,USD,SMART
ECL,Ecolab,United States,USD,SMART
ED,Consolidated Edison,United States,USD,SMART
EFX,Equifax,United States,USD,SMART
EG,Everest Group,United States,USD,SMART
EIX,Edison International,United States,USD,SMART
EL,Estée Lauder Companies (The),United States,USD,SMART
ELV,Elevance Health,United States,USD,SMART
EME,Emcor,United States,USD,SMART
EMR,Emerson Electric,United States,USD,SMART
EOG,EOG Resources,United States,USD,SMART
